Word;--;Document;--;Sentence
neighbors;--;doc3.txt;--;We know that we've been called in churches and mosques, synagogues and Sunday schools to love our neighbors as ourselves; to be our brother's keeper; to be our sister's keeper.
neighbors;--;doc2.txt;--;I've seen it in the workers who would rather cut their hours back a day than see their friends lose their jobs, in the soldiers who re-enlist after losing a limb, in the good neighbors who take a stranger in when a hurricane strikes and the floodwaters rise.
teach;--;doc3.txt;--;You teach law school, you're a civil rights attorney, you organize voter registration, you're a family man - why would you wanna go into something dirty and nasty like politics?"
teach;--;doc5.txt;--;We can teach the soldiers to fight and police to patrol, but if the Iraqi government will not properly feed, adequately pay, or provide them with the equipment they need, they will continue to desert in large numbers, or maintain fealty only to their religious group rather than the national government.
ended;--;doc4.txt;--;His ideas about how Kenya should progress often put him at odds with the politics of tribe and patronage, and because he spoke his mind, sometimes to a fault, he ended up being fired from his job and prevented from finding work in the country for many, many years.
diplomacy;--;doc1.txt;--;For the last six years we've been told that our mounting debts don't matter, we've been told that the anxiety Americans feel about rising health care costs and stagnant wages are an illusion, we've been told that climate change is a hoax, and that tough talk and an ill-conceived war can replace diplomacy, and strategy, and foresight.
diplomacy;--;doc3.txt;--;Let it be said that we will conduct a smart foreign policy that battles the forces of terrorism and fundamentalism wherever they may exist by matching the might of our military with the power of our diplomacy and the strength of our alliances.
diplomacy;--;doc2.txt;--;But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression.
redeployment;--;doc5.txt;--;The second part of our strategy should be to couple this phased redeployment with a more effective plan that puts the Iraqi security forces in the lead, intensifies and focuses our efforts to train those forces, and expands the numbers of our personnel ?
global;--;doc1.txt;--;We can turn this crisis of global warming into a moment of opportunity for innovation, and job creation, and an incentive for businesses that will serve as a model for the world.
global;--;doc6.txt;--;But when we think about the threat that these weapons pose to our global security, we cannot allow the U.S.-Russian relationship to deteriorate to the point where Russia does not think it's in their best interest to help us finish the job we started.
global;--;doc3.txt;--;That in a global economy that's more connected and more competitive - we are the party that will guarantee every American an affordable, world-class, top-notch, life-long education - from early childhood to high school, from college to on-the-job training.
global;--;doc2.txt;--;Now is the time to finally meet our moral obligation to provide every child a world-class education, because it will take nothing less to compete in the global economy.
focus;--;doc5.txt;--;Perhaps most importantly, some of these troops could be redeployed to Afghanistan, where our lack of focus and commitment of resources has led to an increasing deterioration of the security situation there.
month;--;doc4.txt;--;My sister, Auma, was teaching that year at this university, and so I came to stay with her for a month.
month;--;doc5.txt;--;Now, I am hopeful that the Iraq Study Group emerges next month with a series of proposals around which we can begin to build a bipartisan consensus.
month;--;doc2.txt;--;We measure progress by how many people can find a job that pays the mortgage; whether you can put a little extra money away at the end of each month so you can someday watch your child receive her college diploma.
four;--;doc1.txt;--;As Lincoln organized the forces arrayed against slavery, he was heard to say: "Of strange, discordant, and even hostile elements, we gathered from the four winds, and formed and fought to battle through."
four;--;doc3.txt;--;Four years after 9/11, I've had enough of being told that we can find the money to give Paris Hilton more tax cuts, but we can't find enough to protect our ports or our railroads or our chemical plants or our borders.
four;--;doc5.txt;--;a phased redeployment of U.S. troops from Iraq on a timetable that would begin in four to six months.
four;--;doc2.txt;--;And we are here because we love this country too much to let the next four years look like the last eight.
ease;--;doc1.txt;--;What's stopped us is the failure of leadership, the smallness of our politics - the ease with which we're distracted by the petty and trivial, our chronic avoidance of tough decisions, our preference for scoring cheap political points instead of rolling up our sleeves and building a working consensus to tackle big problems.
ease;--;doc6.txt;--;This does not mean that we should ease up one bit on issues affecting our national security.
ease;--;doc5.txt;--;They are the soul-trying times our forbearers spoke of, when the ease of complacency and self-interest must give way to the more difficult task of rendering judgment on what is best for the nation and for posterity, and then acting on that judgment ?
ease;--;doc2.txt;--;I am grateful to finish this journey with one of the finest statesmen of our time, a man at ease with everyone from world leaders to the conductors on the Amtrak train he still takes home every night.
helped;--;doc1.txt;--;But through his will and his words, he moved a nation and helped free a people.
helped;--;doc5.txt;--;to root out both the agents of terrorism and the conditions that helped breed it.
heavy;--;doc6.txt;--;On our trip, we saw two areas where this is possible: elimination of heavy conventional weapons, and interdiction efforts to help stop the flow of dangerous materials across borders.
